genbank_accession	isolate	isolation_source	broad_category	completeness	contamination	contigs	total_length	gc	n50	sample_description	fermented_food	specific_substrate	substrate_category	category
GCA_001311335.1	Lactobacillus kefiranofaciens subsp. kefirgranum	Plant, Kefir grains###Kefir grains###Kefir grains from E.C.Hansen's lab.,Copenhagen,DK###kefir grain	NA	53.76	0	104	2065566	37.42	52180	Plant, Kefir grains###Kefir grains###Kefir grains from E.C.Hansen's lab.,Copenhagen,DK###kefir grain	kefir	milk	dairy	fermented_dairy
GCA_001313205.1	Secundilactobacillus kimchicus	From kimchi###Kimchi###food product	#Food	36.96	0.73	30	2595250	46.5	222296	From kimchi###Kimchi###food product	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_000014525.1	Lacticaseibacillus paracasei	Food, Emmental cheese###Emmental cheese	#Dairy product	90.87	4.82	2	2924325	46.58	2895264	Food, Emmental cheese###Emmental cheese	cheese	milk	dairy	fermented_dairy
GCA_000534815.1	Lactococcus cremoris	Raw milk###Cheese starter culture	#Starter culture	96.39	0.63	213	2269509	35.59	17351	Raw milk###Cheese starter culture	cheese	milk	dairy	fermented_dairy
GCA_018403745.1	Lactococcus formosensis	<I>Yan-tsai-shin</I> (fermented broccoli stems)###fermented broccoli stems	#Fermented	99.58	2.18	17	2115559	37.92	337726	<I>Yan-tsai-shin</I> (fermented broccoli stems)###fermented broccoli stems	yan-tsai-shin	broccoli	vegetable	pickled_fruits_vegetables_roots
GCA_000820425.1	Lactococcus garvieae	fermented milk (raib), Algerian cow	#Dairy product	96.4	5.62	13	2253704	37.69	1512971	fermented milk (raib), Algerian cow	yogurt	milk	dairy	fermented_dairy
GCA_001435715.1	Latilactobacillus sakei subsp. carnosus	From fermented meat product(raw sausage)###Fermented meat product###Raw sausage###fermented meat produkt	#Meat	98.69	0	55	1982536	41.03	108226	From fermented meat product(raw sausage)###Fermented meat product###Raw sausage###fermented meat produkt	salami	meat	meat	fermented_meat
GCA_000615365.1	Latilactobacillus sakei	Food, Starter of sake###Moto (starter of sake)###Sake starter,'Moto'###""Moto"" starter of sake	#Beverage	86.54	0	37	1908197	41.06	143342	Food, Starter of sake###Moto (starter of sake)###Sake starter,'Moto'###""""Moto"""" starter of sake	sake	rice	grain	fermented_beverages
GCA_002271215.1	Lelliottia jeotgali	Jogae-jeotgal, a traditional Korean fermented clam in Inchon###traditional Korean fermented clams (jogae-jeotgal)	#Fermented	100	0	1	4603334	54.24	4603334	Jogae-jeotgal, a traditional Korean fermented clam in Inchon###traditional Korean fermented clams (jogae-jeotgal)	jeotgal	seafood	seafood	fermented_seafood
GCA_001311805.1	Lentibacillus juripiscarius	Food, Fish, sauce###Fish sauce (nam-pla) produced in Thailand###fish sauce	NA	43.11	2.19	139	3208301	44.07	49927	Food, Fish, sauce###Fish sauce (nam-pla) produced in Thailand###fish sauce	nam-pla	fish	seafood	fermented_seafood
GCA_014646635.1	Lentibacillus kapialis	Shrimp paste, fermented###Fermented shrimp paste ('ka-pi') produced in Thailand###fermented shrimp paste###fermented shrimp paste from a market	#Fermented	98.2	1.4	148	3640324	42.03	47925	Shrimp paste, fermented###Fermented shrimp paste ('ka-pi') produced in Thailand###fermented shrimp paste###fermented shrimp paste from a market	ka-pi	shrimp	seafood	fermented_seafood
GCA_000583655.1	Lentilactobacillus farraginis	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	#Beverage	77.64	0.33	129	2844682	42.06	51335	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	shochu	rice	grain	fermented_beverages
GCA_000159315.1	Lentilactobacillus hilgardii	Plant, Wine###wine	#Fruit (Seed)	98.69	0.44	34	2701909	39.59	661593	Plant, Wine###wine	wine	grape	fruit	fermented_beverages
GCA_001311745.1	Lentilactobacillus kefiri	Food, Kefir grains###kefir grains	NA	43.35	0.22	141	2501983	41.62	45651	Food, Kefir grains###kefir grains	kefir	milk	dairy	fermented_dairy
GCA_001311425.1	Lentilactobacillus kisonensis	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	52.07	0.33	108	3009421	41.7	65390	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	sunki	turnip leaves	vegetable	pickled_fruits_vegetables_roots
GCA_000415925.1	Lentilactobacillus otakiensis	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	98.56	0	23	2343063	42.39	244550	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	sunki	turnip leaves	vegetable	pickled_fruits_vegetables_roots
GCA_001437335.1	Lentilactobacillus parabuchneri	Environment, Blair athol distillery###Late fermentation sample from a malt whiskey distillery###blair athol distillery	#Beverage	98.96	0.22	101	2572946	43.5	114011	Environment, Blair athol distillery###Late fermentation sample from a malt whiskey distillery###blair athol distillery	whiskey	barley	grain	fermented_beverages
GCA_001311355.1	Lentilactobacillus parafarraginis	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochun residue	#Beverage	73.59	0.54	236	3101821	45.17	37691	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochun residue	shochu	rice	grain	fermented_beverages
GCA_001311445.1	Lentilactobacillus rapi	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	47.61	0.18	105	2844001	42.91	52472	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	sunki	turnip leaves	vegetable	pickled_fruits_vegetables_roots
GCA_001435575.1	Lentilactobacillus sunkii	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	99.02	0.65	66	2689795	42.06	89629	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	sunki	turnip leaves	vegetable	pickled_fruits_vegetables_roots
GCA_000350525.1	Leucobacter salsicius	Jeotgal (a Korean salt-fermented food containing tiny shrimps)###jeotgal, a Korean salt-fermented food	#Fermented	98.45	1.69	28	3185418	64.5	197637	Jeotgal (a Korean salt-fermented food containing tiny shrimps)###jeotgal, a Korean salt-fermented food	jeotgal	seafood	seafood	fermented_seafood
GCA_012396485.1	Leuconostoc holzapfelii	Ethiopian coffee fermentation###coffee fermentation	#Shrub (Scrub)	99.13	0.83	18	1758434	43.99	218908	Ethiopian coffee fermentation###coffee fermentation	coffee	coffee	fruit	fermented_beverages
GCA_000160595.1	Leuconostoc mesenteroides subsp. cremoris	Food, Dried cheese starter powder###Hansen's dried starter powder	#Starter culture	92.96	0.19	29	1735074	37.9	513909	Food, Dried cheese starter powder###Hansen's dried starter powder	cheese	milk	dairy	fermented_dairy
GCA_001886915.1	Leuconostoc mesenteroides subsp. jonggajibkimchii	Kimchi###a commercial kimchi	#Fermented	92.92	0.61	4	1983917	37.68	1893478	Kimchi###a commercial kimchi	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_000014445.1	Leuconostoc mesenteroides	Food, Fermenting olives###Olives###fermenting olives	#Fermented	98.54	0.19	2	2075763	37.67	2038396	Food, Fermenting olives###Olives###fermenting olives	olives	olive	fruit	pickled_fruits_vegetables_roots
GCA_019656055.1	Leuconostoc miyukkimchii	Brown algae kimchi (miyukkimchi)###fermented brown algae (<i>Undaria pinnatifida</i>) L. kimchi	#Brown Algae	99.22	0.94	12	1913501	36.35	243452	Brown algae kimchi (miyukkimchi)###fermented brown algae (<i>Undaria pinnatifida</i>) L. kimchi	kimchi	wakame	seaweed	pickled_fruits_vegetables_roots
GCA_019656075.1	Leuconostoc palmae	Food, Palm, wine###palm wine	#Plant sap (Flux)	96.58	0.08	28	1385869	35.41	123726	Food, Palm, wine###palm wine	wine	palm sap	other plant based	fermented_beverages
GCA_014634805.1	Leuconostoc falkenbergense	Lactic culture,(Flora Danica)	#Starter culture	99.22	0.09	94	1963835	39.06	39495	Lactic culture,(Flora Danica)	cheese	milk	dairy	fermented_dairy
GCA_001434835.1	Levilactobacillus acidifarinae	Food, Wheat sourdough###Wheat sourdough###artisanal wheat sourdough	#Food	99.18	0.65	18	2914969	51.61	444236	Food, Wheat sourdough###Wheat sourdough###artisanal wheat sourdough	sourdough	wheat	grain	sourdough
GCA_002933755.1	Levilactobacillus brevis	Green, fermenting Sevillano variety olives###green fermenting Sevillano variety olives	#Fermented	99.43	0.49	47	2494980	45.93	224770	Green, fermenting Sevillano variety olives###green fermenting Sevillano variety olives	olives	olive	fruit	pickled_fruits_vegetables_roots
GCA_001434395.1	Levilactobacillus hammesii	Food, Wheat sourdough###French sourdough###wheat sourdough	#Food	99.02	0.11	52	2810184	49.4	225723	Food, Wheat sourdough###French sourdough###wheat sourdough	sourdough	wheat	grain	sourdough
GCA_001435525.1	Levilactobacillus koreensis	From cabbage kimchi(traditional Korean fermented food)###Kimchi###cabbage kimchi	#Fermented	99.35	0.74	98	2950098	49.16	67052	From cabbage kimchi(traditional Korean fermented food)###Kimchi###cabbage kimchi	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_001434785.1	Levilactobacillus namurensis	Food, Sourdough based on wheat, rye and spelt flour###Belgian sourdough###Sourdough based on wheat,rye and spelt flour###sourdough, manufactured with wheat, rye and spelt flour	#Herbaceous plants (Grass,Crops)	100	0	57	2473044	52.01	73803	Food, Sourdough based on wheat, rye and spelt flour###Belgian sourdough###Sourdough based on wheat,rye and spelt flour###sourdough, manufactured with wheat, rye and spelt flour	sourdough	rye, spelt	grain	sourdough
GCA_001436675.1	Levilactobacillus senmaizukei	Japanese pickle###pickles	NA	98.37	0	64	2221581	48.64	102332	Japanese pickle###pickles	pickle	vegetable	vegetable	pickled_fruits_vegetables_roots
GCA_001435095.1	Levilactobacillus spicheri	Food, Rice sourdough###rice sourdough	#Herbaceous plants (Grass,Crops)	99.35	0	30	2746730	55.93	192187	Food, Rice sourdough###rice sourdough	sourdough	rice	grain	sourdough
GCA_003946265.1	Levilactobacillus yonginensis	Kimchi###Korean fermented food, Kimchi	#Fermented	99.35	0.65	63	2693691	47.85	94890	Kimchi###Korean fermented food, Kimchi	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_001434115.1	Levilactobacillus zymae	Food, Wheat sourdough###Wheat sourdough###artisanal wheat sourdough	#Food	99.35	0.65	53	2702905	53.58	96277	Food, Wheat sourdough###Wheat sourdough###artisanal wheat sourdough	sourdough	wheat	grain	sourdough
GCA_000260635.1	Ligilactobacillus acidipiscis	Food, Cheese###Halloumi cheese###Cheese,Halloumi###cheese, Halloumi	#Dairy product	89.59	2.45	392	2263660	39.1	9474	Food, Cheese###Halloumi cheese###Cheese,Halloumi###cheese, Halloumi	cheese	milk	dairy	fermented_dairy
GCA_001435755.1	Ligilactobacillus acidipiscis	Fermented fish (pla-ra)###fermented fish	#Fermented	97.98	0.87	364	2297737	39.06	10756	Fermented fish (pla-ra)###fermented fish	pla-ra	fish	seafood	fermented_seafood
GCA_000349725.1	Ligilactobacillus pobuzihii	Food, Fermented cummingcordia, food###From pobuzih, fermented cummingcordia###fermented cummingcordia (pobuzihi)	#Fermented	97.71	1.09	46	2348709	37.71	125194	Food, Fermented cummingcordia, food###From pobuzih, fermented cummingcordia###fermented cummingcordia (pobuzihi)	pobuzihi	cummingcordia	fruit	pickled_fruits_vegetables_roots
GCA_000159215.1	Limosilactobacillus fermentum	Food, Fermented beets###Fermented beets (Beta vulgaris)###fermented beets	NA	96.67	0.92	35	1855847	52.82	219560	Food, Fermented beets###Fermented beets (Beta vulgaris)###fermented beets	pickle	beet	root/tuber	pickled_fruits_vegetables_roots
GCA_001436045.1	Limosilactobacillus frumenti	rye-bran sourdough	#Herbaceous plants (Grass,Crops)	99.35	0	22	1732492	42.55	204018	rye-bran sourdough	sourdough	rye	grain	sourdough
GCA_001027985.1	Limosilactobacillus panis	Rye sourdough###sourdough	#Fermented	99.13	1.17	207	2078642	47.87	23957	Rye sourdough###sourdough	sourdough	rye	grain	sourdough
GCA_001435345.1	Limosilactobacillus pontis	Sourdough###Sour dough###rye sourdough	#Herbaceous plants (Grass,Crops)	98.63	0	49	1662095	53.49	80708	Sourdough###Sour dough###rye sourdough	sourdough	rye	grain	sourdough
GCA_001437055.1	Limosilactobacillus secaliphilus	Type II sourdough fermentation###Rye sourdough###sour dough	#Fermented	97.71	0.65	9	1645623	47.72	286054	Type II sourdough fermentation###Rye sourdough###sour dough	sourdough	wheat	grain	sourdough
GCA_001436735.1	Liquorilactobacillus cacaonum	cocoa bean heap fermentation	#Fruit (Seed)	98.69	0	12	1917585	33.86	269985	cocoa bean heap fermentation	chocolate	cocoa	fruit	chocolate
GCA_001434915.1	Liquorilactobacillus capillatus	Tofu brine, fermented###Stinky tofu brine###isolated from fermented brine used for stinky tofu production	#Fermented	99.02	1.2	47	2228516	37.63	110492	Tofu brine, fermented###Stinky tofu brine###isolated from fermented brine used for stinky tofu production	stinky tofu	soybean	legume	fermented_soybean
GCA_001435235.1	Liquorilactobacillus ghanensis	Ghanaian cocoa fermentations###cocoa fermentation	#Fruit (Seed)	99.02	3.05	24	2602462	37.08	241714	Ghanaian cocoa fermentations###cocoa fermentation	chocolate	cocoa	fruit	chocolate
GCA_001434845.1	Liquorilactobacillus hordei	malted barley	#Fermented	98.37	0.08	110	2289670	34.76	45651	malted barley	beer	barley	grain	fermented_beverages
GCA_001434225.1	Liquorilactobacillus nagelii	Food, Partially fermented wine###Wines undergoing sluggish/stuck alcoholic fermentation###Commercial red wine###partially fermented wine	#Beverage	99.35	2.07	34	2495429	36.68	248325	Food, Partially fermented wine###Wines undergoing sluggish/stuck alcoholic fermentation###Commercial red wine###partially fermented wine	wine	grape	fruit	fermented_beverages
GCA_001436275.1	Liquorilactobacillus oeni	Food, Bobal grape wines###Bobal wine	#Beverage	99.35	0.65	31	2114211	37.33	412601	Food, Bobal grape wines###Bobal wine	wine	grape	fruit	fermented_beverages
GCA_001312045.1	Liquorilactobacillus satsumensis	Food, Fermented rice###Mashes of shouchu (traditional Japanese distilled spirits)###shochu mash	#Beverage	58.43	2.61	122	2635695	40.15	44489	Food, Fermented rice###Mashes of shouchu (traditional Japanese distilled spirits)###shochu mash	shochu	rice	grain	fermented_beverages
GCA_001434935.1	Liquorilactobacillus uvarum	Spanish Boba grape must###Spanish bobal grape must###must of Bobal grape variety	#Fruit (Seed)	99.35	1.63	111	2670775	36.86	96515	Spanish Boba grape must###Spanish bobal grape must###must of Bobal grape variety	wine	grape	fruit	fermented_beverages
GCA_003970575.1	Mammaliicoccus fleurettii	Food, Goat, raw milk cheese###Cheese made from raw goat's milk###goat milk cheese	#Milk	97.57	1.69	188	2590200	31.47	26560	Food, Goat, raw milk cheese###Cheese made from raw goat's milk###goat milk cheese	cheese	milk	dairy	fermented_dairy
GCA_007671655.1	Marinobacter piscensis	salted Anchovy food###Salty food	#Food	94.97	1.28	10	3336972	55.05	1134880	salted Anchovy food###Salty food	salted anchovy	anchovy	seafood	fermented_seafood
GCA_000686905.1	Marinospirillum insulare	fermented fish brine (kusaya gravy)	#Fermented	99.18	0.9	70	2920434	43.07	86031	fermented fish brine (kusaya gravy)	kusaya gravy	fish	seafood	fermented_seafood
GCA_002874535.1	Mesobacillus jeotgali	Food, Korean traditonal fermented food###jeotgal, Korean traditional fermented seafood	#Fermented	99.35	0.65	1	4703554	42.17	4703554	Food, Korean traditonal fermented food###jeotgal, Korean traditional fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_022179345.1	Methylobacterium jeotgali	From fermented food (Shrimp Jeotgal)###food product	#Food	98	1.1	112	4459488	71.04	64725	From fermented food (Shrimp Jeotgal)###food product	jeotgal	shrimp	seafood	fermented_seafood
GCA_000422745.1	Microbacterium gubbeenense	Food, Cheese###surface of a smear-ripened cheese	#Dairy product	98.33	1.92	74	3017924	68.14	194753	Food, Cheese###surface of a smear-ripened cheese	cheese	milk	dairy	fermented_dairy
GCA_008017445.1	Microbacterium mitrae	salted turban shell (traditional fermented seafood)	#Fermented	96.01	2.31	10	2821547	63.66	1483109	salted turban shell (traditional fermented seafood)	salted turban shell	turban shell	seafood	fermented_seafood
GCA_003667525.1	Mycetocola reblochoni	Surface of Reblochon cheese at the late stage of ripening###surface of Reblochon cheese (late stage of ripening)	#Dairy product	98.74	1.23	29	3046112	70.46	300101	Surface of Reblochon cheese at the late stage of ripening###surface of Reblochon cheese (late stage of ripening)	cheese	milk	dairy	fermented_dairy
GCA_014138825.1	Nesterenkonia jeotgali	Food, Jeotgal, traditional Korean fermented seafood###From Jeotgal###Jeotgal, Korean traditional fermented seafood###jeotgal, Korean fermented seafood	#Fermented	89.81	11.05	1	3002985	67.44	3002985	Food, Jeotgal, traditional Korean fermented seafood###From Jeotgal###Jeotgal, Korean traditional fermented seafood###jeotgal, Korean fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_000340475.1	Oceanobacillus kimchii	mustard Kimchi, a traditional Korean fermented food	#Fermented	97.79	1.07	1	3830781	35.18	3830781	mustard Kimchi, a traditional Korean fermented food	kimchi	mustard greens	vegetable	pickled_fruits_vegetables_roots
GCA_000309445.1	Oenococcus oeni	Food, Wine###wine	#Fruit (Seed)	97.35	0.89	39	1728186	37.81	135603	Food, Wine###wine	wine	grape	fruit	fermented_beverages
GCA_003008535.1	Ottowia oryzae	Sikhye from Andongsi	#Beverage	99.79	1.49	1	3901011	66.8	3901011	Sikhye from Andongsi	sikhye	rice	grain	fermented_beverages
GCA_003614185.1	Paenibacillus aceti	Traditional acetic acid fermentation culture of Chinese cereal vinegars###from traditional acetic acid fermentation culture of cereal vinegars	#Beverage	98.69	1.22	11	5611962	47.92	5572757	Traditional acetic acid fermentation culture of Chinese cereal vinegars###from traditional acetic acid fermentation culture of cereal vinegars	vinegar	grain	grain	vinegar
GCA_001436805.1	Paralactobacillus selangorensis	Chili bo, a Malaysian food ingredient###Chili bo###""chili bo""	#Food	98.23	1.3	28	2163674	46.32	529598	Chili bo, a Malaysian food ingredient###Chili bo###""""chili bo""""	chili bo	pepper	fruit	pickled_fruits_vegetables_roots
GCA_004341685.1	Pectinatus cerevisiiphilus	beer	#Fruit (Seed)	98.6	0	49	2637495	38.52	136283	beer	beer	barley	grain	fermented_beverages
GCA_001437605.1	Pediococcus argentinicus	Argentinean fermented wheat flour###Wheat flour,commercial###fermented wheat flour	NA	91.34	3.38	81	1760463	36.67	43657	Argentinean fermented wheat flour###Wheat flour,commercial###fermented wheat flour	sourdough	wheat	grain	sourdough
GCA_015613245.1	Pediococcus pentosaceus	Food, Sake mash###sake mash	#Beverage	92.01	3.21	7	1721772	37.07	408195	Food, Sake mash###sake mash	sake	rice	grain	fermented_beverages
GCA_015613265.1	Pediococcus pentosaceus	Cheese,New Zealand Cheddar###cheddar cheese	#Dairy product	91.22	5.19	16	1897225	37.1	311962	Cheese,New Zealand Cheddar###cheddar cheese	cheese	milk	dairy	fermented_dairy
GCA_016908275.1	Periweissella beninensis	Cassava fermentations in Ketou###fermented cassava	#Shrub (Scrub)	95.67	0.98	62	1838519	35.44	79599	Cassava fermentations in Ketou###fermented cassava	cassava	cassava	root/tuber	fermented_cassava
GCA_023657365.1	Periweissella ghanensis	fermented cocoa beans	#Fruit (Seed)	96.06	0.76	106	2013964	39.53	53895	fermented cocoa beans	chocolate	cocoa	fruit	chocolate
GCA_900113675.1	Pisciglobus halotolerans	From fish sauce###fermented fish sauce	#Fermented	98.57	1.14	88	2437433	38.66	55710	From fish sauce###fermented fish sauce	fish sauce	fish	seafood	fermented_seafood
GCA_014202615.1	Planococcus koreensis	Food, Jeotgal, korean traditional fermented seafood###From Jeotgal, Korean traditional fermented seafood###Jeotgal, Korean traditional fermented seafood###jeotgal (korean traditional fermented seafood)	#Fermented	87.92	7.91	22	3469359	47.58	388042	Food, Jeotgal, korean traditional fermented seafood###From Jeotgal, Korean traditional fermented seafood###Jeotgal, Korean traditional fermented seafood###jeotgal (korean traditional fermented seafood)	jeotgal	seafood	seafood	fermented_seafood
GCA_000940845.1	Propionibacterium freudenreichii	Food, Swiss cheese###Cheese,Swiss###swiss cheese	#Dairy product	97.97	0.65	1	2649166	67.34	2649166	Food, Swiss cheese###Cheese,Swiss###swiss cheese	cheese	milk	dairy	fermented_dairy
GCA_003144495.1	Proteus terrae subsp. cibarius	Korean fermented seafood, Jeotgal###Jeotgal (Korean traditional fermented seafood)	#Fermented	84.82	6.52	45	3922849	37.81	159372	Korean fermented seafood, Jeotgal###Jeotgal (Korean traditional fermented seafood)	jeotgal	seafood	seafood	fermented_seafood
GCA_016107535.1	Psychrobacter cibarius	Food, Jeotgal, a traditional Korean fermented seafood###From Jeotgal, a traditional Korean fermented seafood###jeotgal, a traditional Korean fermented seafood	#Fermented	99	1.34	72	3240654	42.78	97459	Food, Jeotgal, a traditional Korean fermented seafood###From Jeotgal, a traditional Korean fermented seafood###jeotgal, a traditional Korean fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_900107595.1	Psychroflexus halocasei	Cheese rind###sticky surface of a semi-hard, Raclette-type cheese	#Dairy product	78.04	5.44	43	2671918	33.39	299256	Cheese rind###sticky surface of a semi-hard, Raclette-type cheese	cheese	milk	dairy	fermented_dairy
GCA_003097615.1	Pueribacillus theae	ripened Pu'er tea sample obtained from a manufacturer	#Beverage	93.68	2.89	117	3748436	39.98	74128	ripened Pu'er tea sample obtained from a manufacturer	pu'er tea	tea	plant	fermented_beverages
GCA_014642655.1	Pullulanibacillus camelliae	Ripened Pu'er tea###ripened Pu’er tea sample obtained from a manufacturer	#Beverage	89.36	30.48	52	4254632	41.44	183979	Ripened Pu'er tea###ripened Pu’er tea sample obtained from a manufacturer	pu'er tea	tea	plant	fermented_beverages
GCA_014639255.1	Pullulanibacillus pueri	ripened Pu'er tea	#Beverage	89.38	35.5	83	4558844	40.32	103972	ripened Pu'er tea	pu'er tea	tea	plant	fermented_beverages
GCA_001591825.1	Rossellomorea vietnamensis	Food, Fish, sauce###vietnamese fish sauce	#Food	99.35	1.72	123	4410879	43.74	77623	Food, Fish, sauce###vietnamese fish sauce	fish sauce	fish	seafood	fermented_seafood
GCA_004136575.1	Rothia koreensis	Food, Jeotgal, Korean traditional fermented seafood###From Jeotgal, fermented shellfisg###Jeotgal, Korean traditional fermented seafood###Korean traditional fermented seafood (jeotgal)	#Fermented	90.9	26.67	44	2911929	64.51	118248	Food, Jeotgal, Korean traditional fermented seafood###From Jeotgal, fermented shellfisg###Jeotgal, Korean traditional fermented seafood###Korean traditional fermented seafood (jeotgal)	jeotgal	seafood	seafood	fermented_seafood
GCA_000330705.1	Salinicoccus carnicancri	From Korean traditional fermented seafood###Crabs preserved in soy sauce, traditional Korean fermented seafood###traditional Korean fermented seafood (crabs)	#Fermented	97.94	0.27	12	2669034	47.93	637917	From Korean traditional fermented seafood###Crabs preserved in soy sauce, traditional Korean fermented seafood###traditional Korean fermented seafood (crabs)	gejang	crab	seafood	fermented_seafood
GCA_001996005.1	Salinivibrio siamensis	Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra)	#Fermented	93.59	0.37	61	3442185	50.41	114651	Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra)	pla-ra	fish	seafood	fermented_seafood
GCA_000425885.1	Schleiferilactobacillus harbinensis	Food, Traditional fermented vegetables Suan cai###Traditional fermented vegetables 'Suan cai'###Fermented vegetables 'Suan cai'###chinese traditional fermented vegetable Suan cai	#Fermented	97.75	2.26	101	3134829	53.1	58438	Food, Traditional fermented vegetables Suan cai###Traditional fermented vegetables 'Suan cai'###Fermented vegetables 'Suan cai'###chinese traditional fermented vegetable Suan cai	suan cai	mustard greens	vegetable	pickled_fruits_vegetables_roots
GCA_000469325.1	Schleiferilactobacillus shenzhenensis	fermented beverage	#Beverage	98.19	1.82	62	3271684	56.44	139405	fermented beverage	fermented beverage	milk	dairy	fermented_dairy
GCA_016908855.1	Scopulibacillus daqui	high temperature daqu (saccharifying and fermenting agent) of sesame-flavour liquor	#Beverage	83.08	20.5	57	3201791	40.16	113773	high temperature daqu (saccharifying and fermenting agent) of sesame-flavour liquor	daqu	grains	grains	fermented_beverages
GCA_001312845.1	Secundilactobacillus collinoides	Food, Fermenting apple juice###fermenting apple juice	NA	51.97	1.42	114	3562239	46.13	66998	Food, Fermenting apple juice###fermenting apple juice	cider	apple	fruit	fermented_beverages
GCA_000260775.1	Secundilactobacillus malefermentans	Other, Beer###beer	#Fruit (Seed)	98.47	0.33	139	1994841	41.06	35519	Other, Beer###beer	beer	barley	grain	fermented_beverages
GCA_001313185.1	Secundilactobacillus odoratitofui	Stinky tofu brine in Taipei###fermented brine used for stinky tofu production	#Food	46.87	0.65	23	2744707	44.17	271048	Stinky tofu brine in Taipei###fermented brine used for stinky tofu production	stinky tofu	soybean	legume	fermented_soybean
GCA_000740055.1	Secundilactobacillus oryzae	Fermented rice grain, Oryza sativa Lactobacillus japonica###From fermented rice grains###Fermented rice grain (<I>Oryza sativa</I> L. subsp. <I>japonica</I>)###fermented rice grains	#Fermented	98.69	0.08	79	1855567	42.82	47922	Fermented rice grain, Oryza sativa Lactobacillus japonica###From fermented rice grains###Fermented rice grain (<I>Oryza sativa</I> L. subsp. <I>japonica</I>)###fermented rice grains	fermented rice grain	rice	grain	other_fermented_grains
GCA_001311075.1	Secundilactobacillus similis	Fermented cane molasses###Fermented molasses###fermented cane molasses at alcohol plants	#Plant (Factory)	66.79	0.82	176	3453494	46.96	34565	Fermented cane molasses###Fermented molasses###fermented cane molasses at alcohol plants	molasses	sugar cane	other plant based	other_plant_based_fermentation
GCA_002902605.1	Staphylococcus carnosus	Food, Fermenting fish and shrimp sauces###Pla-chom (fermented small fish)###fermented fish sauce (Pla-chom)	#Fermented	97.92	1.09	404	2608024	34.42	12287	Food, Fermenting fish and shrimp sauces###Pla-chom (fermented small fish)###fermented fish sauce (Pla-chom)	pla-chom	fish, shrimp	seafood	fermented_seafood
GCA_001014685.1	Staphylococcus condimenti	Food, Soy sauce mash###Soy-sauce mash###soy sauce mash	#Food	99.43	0.42	42	2605351	34.56	203670	Food, Soy sauce mash###Soy-sauce mash###soy sauce mash	soy sauce	soybean	legume	fermented_soybean
GCA_002901955.1	Staphylococcus equorum subsp. linens	Food, Rind of surface ripened cheese###rind of surface ripened cheese	#Dairy product	99.72	0.11	90	2764624	32.99	61301	Food, Rind of surface ripened cheese###rind of surface ripened cheese	cheese	milk	dairy	fermented_dairy
GCA_003970555.1	Staphylococcus piscifermentans	Fermented shrimp###Shrimp,fermented (Kung-chom)###Kung-chom (fermented shrimp)	#Fermented	99.54	0.49	113	2627036	36.48	50484	Fermented shrimp###Shrimp,fermented (Kung-chom)###Kung-chom (fermented shrimp)	kung-chom	shrimp	seafood	fermented_seafood
GCA_900453015.1	Staphylococcus saprophyticus	Ropy milk	NA	91.54	1.17	2	2125505	36.67	2116047	Ropy milk	ropy milk	milk	dairy	fermented_dairy
